"filename", "language", "JavaScript", "comment", "blank", "total"
"/Users/evgenygazdovsky/workspace/reacthome-studio/src/components/DangerButton.js", "JavaScript", 23, 0, 2, 25
"/Users/evgenygazdovsky/workspace/reacthome-studio/src/constants.js", "JavaScript", 23, 0, 3, 26
"/Users/evgenygazdovsky/workspace/reacthome-studio/src/containers/Details/Card/ActionPayload/ActionPayloadAledAnimationPlay.js", "JavaScript", 6, 0, 2, 8
"/Users/evgenygazdovsky/workspace/reacthome-studio/src/containers/Details/Card/CardDauerhaft.js", "JavaScript", 109, 0, 5, 114
"/Users/evgenygazdovsky/workspace/reacthome-studio/src/containers/Details/Card/Dauerhaft.js", "JavaScript", 203, 0, 20, 223
"/Users/evgenygazdovsky/workspace/reacthome-studio/src/containers/Details/Card/SelectDi.js", "JavaScript", 3, 0, 0, 3
"/Users/evgenygazdovsky/workspace/reacthome-studio/src/containers/Details/Card/SelectDo.js", "JavaScript", 4, 0, 0, 4
"/Users/evgenygazdovsky/workspace/reacthome-studio/src/containers/Details/Card/index.js", "JavaScript", 13, 0, 0, 13
"/Users/evgenygazdovsky/workspace/reacthome-studio/src/containers/Device/DeviceDopplerDI.js", "JavaScript", 5, 0, -1, 4
"/Users/evgenygazdovsky/workspace/reacthome-studio/src/containers/Device/DeviceSmartNextTop.js", "JavaScript", 12, 0, 0, 12
"Total", "-", 401, 0, 31, 432
